Reference,doi,Composition,Location,Material,H2O technique,CO2 technique,Experimental apparatus,Sample,T_C,T_C sd,T_C sd type,P_bar,P_bar sd,P_bar sd type,H2O_wt%,H2O_wt% sd,H2O_wt% sd type,CO2_ppm,CO2_ppm sd,CO2_ppm sd type,SiO2_wt%,SiO2_wt% sd,SiO2_wt% sd type,Al2O3_wt%,Al2O3_wt% sd,Al2O3_wt% sd type,Na2O_wt%,Na2O_wt% sd,Na2O_wt% sd type,MgO_wt%,MgO_wt% sd,MgO_wt% sd type,CaO_wt%,CaO_wt% sd,CaO_wt% sd type,TiO2_wt%,TiO2_wt% sd,TiO2_wt% sd type,FeOT_wt%,FeOT_wt% sd,FeOT_wt% sd type,MnO_wt%,MnO_wt% sd,MnO_wt% sd type,K2O_wt%,K2O_wt% sd,K2O_wt% sd type,P2O5_wt%,P2O5_wt% sd,P2O5_wt% sd type,Fe3_FeT,Fe3_FeT sd,Fe3_FeT sd type,fO2,fO2 unit,fO2 sd,fO2 sd type,XH2Of,XH2Of sd,XH2Of sd type,XCO2f,XCO2f sd,XCO2f sd type,Fit_or_test,volatile-free analytical total,SiO2_n,TA_n,Symbol,Colour,calib_MagmaSat,calib_ShishkinaIdealMixing,calib_IaconoMarziano,calib_Liu,calib_Dixon
Mangan et al. (2021) Am. Min. 106(5):762-773,10.2138/am-2021-7531,Basaltic andesite,"Pavlof, Alaska, USA",Natural,SIMS,SIMS,PC,2092,1125,6,A,6000,100,A,3.73,0.09,A,3417,284,A,53,0.1,A,18.9,0.1,A,3.54,0.07,A,4.5,0.03,A,8.94,0.07,A,1.17,0.05,A,8.96,0.22,A,0.28,0.04,A,0.6,0.01,A,,,ND,,,ND,0,NNO,,,,,ND,,,ND,F,99.89,53.0583642,4.144559015,triangle-up,#de8f05,N,N,N,N,N
Mangan et al. (2021) Am. Min. 106(5):762-773,10.2138/am-2021-7531,Basaltic andesite,"Pavlof, Alaska, USA",Natural,SIMS,SIMS,PC,1908,1125,6,A,7200,100,A,3.75,0.03,A,6840,106,A,53,0.1,A,18.9,0.1,A,3.54,0.07,A,4.5,0.03,A,8.94,0.07,A,1.17,0.05,A,8.96,0.22,A,0.28,0.04,A,0.6,0.01,A,,,ND,,,ND,0,NNO,,,,,ND,,,ND,F,99.89,53.0583642,4.144559015,triangle-up,#de8f05,N,N,N,N,N
Mangan et al. (2021) Am. Min. 106(5):762-773,10.2138/am-2021-7531,Basaltic andesite,"Pavlof, Alaska, USA",Natural,SIMS,SIMS,PC,2110,1125,6,A,7200,100,A,2.36,0.1,A,4825,366,A,53,0.1,A,18.9,0.1,A,3.54,0.07,A,4.5,0.03,A,8.94,0.07,A,1.17,0.05,A,8.96,0.22,A,0.28,0.04,A,0.6,0.01,A,,,ND,,,ND,0,NNO,,,,,ND,,,ND,F,99.89,53.0583642,4.144559015,triangle-up,#de8f05,N,N,N,N,N
Mangan et al. (2021) Am. Min. 106(5):762-773,10.2138/am-2021-7531,Basaltic andesite,"Pavlof, Alaska, USA",Natural,SIMS,SIMS,PC,2228,1125,6,A,7200,100,A,4.41,0.13,A,3585,320,A,53,0.1,A,18.9,0.1,A,3.54,0.07,A,4.5,0.03,A,8.94,0.07,A,1.17,0.05,A,8.96,0.22,A,0.28,0.04,A,0.6,0.01,A,,,ND,,,ND,0,NNO,,,,,ND,,,ND,F,99.89,53.0583642,4.144559015,triangle-up,#de8f05,N,N,N,N,N
Mangan et al. (2021) Am. Min. 106(5):762-773,10.2138/am-2021-7531,Basaltic andesite,"Pavlof, Alaska, USA",Natural,SIMS,SIMS,PC,2151,1125,6,A,8150,100,A,5.16,0.12,A,6098,310,A,53,0.1,A,18.9,0.1,A,3.54,0.07,A,4.5,0.03,A,8.94,0.07,A,1.17,0.05,A,8.96,0.22,A,0.28,0.04,A,0.6,0.01,A,,,ND,,,ND,0,NNO,,,,,ND,,,ND,F,99.89,53.0583642,4.144559015,triangle-up,#de8f05,N,N,N,N,N
Mangan et al. (2021) Am. Min. 106(5):762-773,10.2138/am-2021-7531,Basaltic andesite,"Pavlof, Alaska, USA",Natural,manometry,manometry,PC,2066,1125,6,A,8150,100,A,2.55,0.05,A,7400,370,A,53,0.1,A,18.9,0.1,A,3.54,0.07,A,4.5,0.03,A,8.94,0.07,A,1.17,0.05,A,8.96,0.22,A,0.28,0.04,A,0.6,0.01,A,,,ND,,,ND,0,NNO,,,,,ND,,,ND,T,99.89,53.0583642,4.144559015,triangle-up,#de8f05,N,N,N,N,N
Mangan et al. (2021) Am. Min. 106(5):762-773,10.2138/am-2021-7531,Basaltic andesite,"Pavlof, Alaska, USA",Natural,SIMS,SIMS,PC,2090,1125,6,A,8150,100,A,3.9,0.1,A,6105,241,A,53,0.1,A,18.9,0.1,A,3.54,0.07,A,4.5,0.03,A,8.94,0.07,A,1.17,0.05,A,8.96,0.22,A,0.28,0.04,A,0.6,0.01,A,,,ND,,,ND,0,NNO,,,,,ND,,,ND,F,99.89,53.0583642,4.144559015,triangle-up,#de8f05,N,N,N,N,N
Mangan et al. (2021) Am. Min. 106(5):762-773,10.2138/am-2021-7531,Basaltic andesite,"Pavlof, Alaska, USA",Natural,SIMS,SIMS,PC,2233,1125,6,A,8150,100,A,5.47,0.18,A,5006,803,A,53,0.1,A,18.9,0.1,A,3.54,0.07,A,4.5,0.03,A,8.94,0.07,A,1.17,0.05,A,8.96,0.22,A,0.28,0.04,A,0.6,0.01,A,,,ND,,,ND,0,NNO,,,,,ND,,,ND,F,99.89,53.0583642,4.144559015,triangle-up,#de8f05,N,N,N,N,N
Mangan et al. (2021) Am. Min. 106(5):762-773,10.2138/am-2021-7531,Basaltic andesite,"Pavlof, Alaska, USA",Natural,manometry,manometry,PC,2070,1125,6,A,8800,100,A,4.11,0.08,A,7500,375,A,53,0.1,A,18.9,0.1,A,3.54,0.07,A,4.5,0.03,A,8.94,0.07,A,1.17,0.05,A,8.96,0.22,A,0.28,0.04,A,0.6,0.01,A,,,ND,,,ND,0,NNO,,,,,ND,,,ND,T,99.89,53.0583642,4.144559015,triangle-up,#de8f05,N,N,N,N,N
Mangan et al. (2021) Am. Min. 106(5):762-773,10.2138/am-2021-7531,Basaltic andesite,"Pavlof, Alaska, USA",Natural,SIMS,SIMS,PC,2115,1125,6,A,8700,100,A,2.34,0.11,A,7852,622,A,53,0.1,A,18.9,0.1,A,3.54,0.07,A,4.5,0.03,A,8.94,0.07,A,1.17,0.05,A,8.96,0.22,A,0.28,0.04,A,0.6,0.01,A,,,ND,,,ND,0,NNO,,,,,ND,,,ND,T,99.89,53.0583642,4.144559015,triangle-up,#de8f05,N,N,N,N,N
Mangan et al. (2021) Am. Min. 106(5):762-773,10.2138/am-2021-7531,Basaltic andesite,"Pavlof, Alaska, USA",Natural,manometry,manometry,PC,2065,1125,6,A,10150,100,A,2.9,0.06,A,12500,625,A,53,0.1,A,18.9,0.1,A,3.54,0.07,A,4.5,0.03,A,8.94,0.07,A,1.17,0.05,A,8.96,0.22,A,0.28,0.04,A,0.6,0.01,A,,,ND,,,ND,0,NNO,,,,,ND,,,ND,F,99.89,53.0583642,4.144559015,triangle-up,#de8f05,N,N,N,N,N
Mangan et al. (2021) Am. Min. 106(5):762-773,10.2138/am-2021-7531,Basaltic andesite,"Pavlof, Alaska, USA",Natural,SIMS,SIMS,PC,1898,1125,6,A,10400,100,A,2.83,0.11,A,10986,69,A,53,0.1,A,18.9,0.1,A,3.54,0.07,A,4.5,0.03,A,8.94,0.07,A,1.17,0.05,A,8.96,0.22,A,0.28,0.04,A,0.6,0.01,A,,,ND,,,ND,0,NNO,,,,,ND,,,ND,T,99.89,53.0583642,4.144559015,triangle-up,#de8f05,N,N,N,N,N
Mangan et al. (2021) Am. Min. 106(5):762-773,10.2138/am-2021-7531,Basaltic andesite,"Pavlof, Alaska, USA",Natural,SIMS,SIMS,PC,2062,1125,6,A,10300,100,A,2.92,0.04,A,11581,446,A,53,0.1,A,18.9,0.1,A,3.54,0.07,A,4.5,0.03,A,8.94,0.07,A,1.17,0.05,A,8.96,0.22,A,0.28,0.04,A,0.6,0.01,A,,,ND,,,ND,0,NNO,,,,,ND,,,ND,F,99.89,53.0583642,4.144559015,triangle-up,#de8f05,N,N,N,N,N
Mangan et al. (2021) Am. Min. 106(5):762-773,10.2138/am-2021-7531,Basaltic andesite,"Pavlof, Alaska, USA",Natural,SIMS,SIMS,PC,2229,1125,6,A,10350,100,A,4.51,0.07,A,12571,395,A,53,0.1,A,18.9,0.1,A,3.54,0.07,A,4.5,0.03,A,8.94,0.07,A,1.17,0.05,A,8.96,0.22,A,0.28,0.04,A,0.6,0.01,A,,,ND,,,ND,0,NNO,,,,,ND,,,ND,T,99.89,53.0583642,4.144559015,triangle-up,#de8f05,N,N,N,N,N
Mangan et al. (2021) Am. Min. 106(5):762-773,10.2138/am-2021-7531,Basaltic andesite,"Pavlof, Alaska, USA",Natural,SIMS,SIMS,PC,2243,1125,6,A,10300,100,A,5.39,0.19,A,10192,351,A,53,0.1,A,18.9,0.1,A,3.54,0.07,A,4.5,0.03,A,8.94,0.07,A,1.17,0.05,A,8.96,0.22,A,0.28,0.04,A,0.6,0.01,A,,,ND,,,ND,0,NNO,,,,,ND,,,ND,F,99.89,53.0583642,4.144559015,triangle-up,#de8f05,N,N,N,N,N
Mangan et al. (2021) Am. Min. 106(5):762-773,10.2138/am-2021-7531,Basaltic andesite,"Pavlof, Alaska, USA",Natural,SIMS,SIMS,PC,2088,1125,6,A,12000,100,A,2.44,0.13,A,13800,642,A,53,0.1,A,18.9,0.1,A,3.54,0.07,A,4.5,0.03,A,8.94,0.07,A,1.17,0.05,A,8.96,0.22,A,0.28,0.04,A,0.6,0.01,A,,,ND,,,ND,0,NNO,,,,,ND,,,ND,T,99.89,53.0583642,4.144559015,triangle-up,#de8f05,N,N,N,N,N
Mangan et al. (2021) Am. Min. 106(5):762-773,10.2138/am-2021-7531,Basaltic andesite,"Pavlof, Alaska, USA",Natural,SIMS,SIMS,PC,2089,1125,6,A,12000,100,A,3.82,0.06,A,12916,551,A,53,0.1,A,18.9,0.1,A,3.54,0.07,A,4.5,0.03,A,8.94,0.07,A,1.17,0.05,A,8.96,0.22,A,0.28,0.04,A,0.6,0.01,A,,,ND,,,ND,0,NNO,,,,,ND,,,ND,F,99.89,53.0583642,4.144559015,triangle-up,#de8f05,N,N,N,N,N
Mangan et al. (2021) Am. Min. 106(5):762-773,10.2138/am-2021-7531,Basaltic andesite,"Pavlof, Alaska, USA",Natural,SIMS,SIMS,PC,2131,1125,6,A,12000,100,A,5.3,0.21,A,13316,963,A,53,0.1,A,18.9,0.1,A,3.54,0.07,A,4.5,0.03,A,8.94,0.07,A,1.17,0.05,A,8.96,0.22,A,0.28,0.04,A,0.6,0.01,A,,,ND,,,ND,0,NNO,,,,,ND,,,ND,F,99.89,53.0583642,4.144559015,triangle-up,#de8f05,N,N,N,N,N
Behrens et al. (2004) GCA 68(22):4687-4703,10.1016/j.gca.2004.04.019,Dacite,"Unzen, Japan",Synthetic,KFT,SIMS,IHPV,DC95,1250,5,A,5000,50,A,1.57,0.1,A,2889.5,305.1331676,A,65.84,,NR,15.44,,NR,3.68,,NR,2.14,,NR,4.89,,NR,0.66,,NR,4.73,,NR,0.07,,NR,2.55,,NR,0,0,A,,,ND,,,,,0.074,,CALC,0.926,,NR,T,100,65.84,6.23,diamond,#d55e00,Y,N,N,N,N
Behrens et al. (2004) GCA 68(22):4687-4703,10.1016/j.gca.2004.04.019,Dacite,"Unzen, Japan",Synthetic,KFT,SIMS,IHPV,DC101,1250,5,A,5000,50,A,3.47,0.11,A,2949,314.6625176,A,65.84,,NR,15.44,,NR,3.68,,NR,2.14,,NR,4.89,,NR,0.66,,NR,4.73,,NR,0.07,,NR,2.55,,NR,0,0,A,,,ND,,,,,0.199,,CALC,0.801,,NR,F,100,65.84,6.23,diamond,#d55e00,Y,N,N,N,N
Behrens et al. (2004) GCA 68(22):4687-4703,10.1016/j.gca.2004.04.019,Dacite,"Unzen, Japan",Synthetic,KFT,SIMS,IHPV,DC102,1250,5,A,5000,50,A,5.29,0.12,A,2576.5,278.6081478,A,65.84,,NR,15.44,,NR,3.68,,NR,2.14,,NR,4.89,,NR,0.66,,NR,4.73,,NR,0.07,,NR,2.55,,NR,0,0,A,,,ND,,,,,0.435,,CALC,0.565,,NR,F,100,65.84,6.23,diamond,#d55e00,Y,N,N,N,N
Behrens et al. (2004) GCA 68(22):4687-4703,10.1016/j.gca.2004.04.019,Dacite,"Unzen, Japan",Synthetic,KFT,SIMS,IHPV,DC103,1250,5,A,5000,50,A,6.8,0.12,A,2121.5,236.8807717,A,65.84,,NR,15.44,,NR,3.68,,NR,2.14,,NR,4.89,,NR,0.66,,NR,4.73,,NR,0.07,,NR,2.55,,NR,0,0,A,,,ND,,,,,0.665,,CALC,0.335,,NR,F,100,65.84,6.23,diamond,#d55e00,Y,N,N,N,N
Behrens et al. (2004) GCA 68(22):4687-4703,10.1016/j.gca.2004.04.019,Dacite,"Unzen, Japan",Synthetic,KFT,SIMS,IHPV,DC199,1250,5,A,2000,50,A,0.55,0.11,A,1318,96.16652224,A,65.84,,NR,15.44,,NR,3.68,,NR,2.14,,NR,4.89,,NR,0.66,,NR,4.73,,NR,0.07,,NR,2.55,,NR,0,0,A,,,ND,,,,,0.053,,CALC,0.947,,NR,F,100,65.84,6.23,diamond,#d55e00,Y,N,N,N,N
Behrens et al. (2004) GCA 68(22):4687-4703,10.1016/j.gca.2004.04.019,Dacite,"Unzen, Japan",Synthetic,KFT,SIMS,IHPV,DC198,1250,5,A,2000,50,A,1,0.11,A,1329,97.23296766,A,65.84,,NR,15.44,,NR,3.68,,NR,2.14,,NR,4.89,,NR,0.66,,NR,4.73,,NR,0.07,,NR,2.55,,NR,0,0,A,,,ND,,,,,0.073,,CALC,0.927,,NR,F,100,65.84,6.23,diamond,#d55e00,Y,N,N,N,N
Behrens et al. (2004) GCA 68(22):4687-4703,10.1016/j.gca.2004.04.019,Dacite,"Unzen, Japan",Synthetic,KFT,SIMS,IHPV,DC197,1250,5,A,2000,50,A,2.05,0.1,A,1376,101.8454712,A,65.84,,NR,15.44,,NR,3.68,,NR,2.14,,NR,4.89,,NR,0.66,,NR,4.73,,NR,0.07,,NR,2.55,,NR,0,0,A,,,ND,,,,,0.237,,CALC,0.763,,NR,F,100,65.84,6.23,diamond,#d55e00,Y,N,N,N,N
Behrens et al. (2004) GCA 68(22):4687-4703,10.1016/j.gca.2004.04.019,Dacite,"Unzen, Japan",Synthetic,KFT,SIMS,IHPV,DC196,1250,5,A,2000,50,A,3.61,0.1,A,944,71.4177849,A,65.84,,NR,15.44,,NR,3.68,,NR,2.14,,NR,4.89,,NR,0.66,,NR,4.73,,NR,0.07,,NR,2.55,,NR,0,0,A,,,ND,,,,,0.6,,CALC,0.4,,NR,T,100,65.84,6.23,diamond,#d55e00,Y,N,N,N,N
Behrens et al. (2004) GCA 68(22):4687-4703,10.1016/j.gca.2004.04.019,Dacite,"Unzen, Japan",Synthetic,KFT,SIMS,IHPV,DC195,1250,5,A,2000,50,A,4.81,0.1,A,566,43.13351365,A,65.84,,NR,15.44,,NR,3.68,,NR,2.14,,NR,4.89,,NR,0.66,,NR,4.73,,NR,0.07,,NR,2.55,,NR,0,0,A,,,ND,,,,,0.845,,CALC,0.155,,NR,F,100,65.84,6.23,diamond,#d55e00,Y,N,N,N,N
Behrens et al. (2004) GCA 68(22):4687-4703,10.1016/j.gca.2004.04.019,Dacite,"Unzen, Japan",Synthetic,KFT,SIMS,IHPV,DC156,1250,5,A,1000,50,A,1.19,0.18,A,795,66,A,65.84,,NR,15.44,,NR,3.68,,NR,2.14,,NR,4.89,,NR,0.66,,NR,4.73,,NR,0.07,,NR,2.55,,NR,0,0,A,,,ND,,,,,0.175,,CALC,0.825,,NR,F,100,65.84,6.23,diamond,#d55e00,Y,N,N,N,N
Behrens et al. (2004) GCA 68(22):4687-4703,10.1016/j.gca.2004.04.019,Dacite,"Unzen, Japan",Synthetic,KFT,SIMS,IHPV,DC155,1250,5,A,1000,50,A,1.44,0.14,A,703.5,41.36725758,A,65.84,,NR,15.44,,NR,3.68,,NR,2.14,,NR,4.89,,NR,0.66,,NR,4.73,,NR,0.07,,NR,2.55,,NR,0,0,A,,,ND,,,,,,,ND,,,ND,F,100,65.84,6.23,diamond,#d55e00,N,N,N,N,N
Behrens et al. (2004) GCA 68(22):4687-4703,10.1016/j.gca.2004.04.019,Dacite,"Unzen, Japan",Synthetic,KFT,SIMS,IHPV,DC154,1250,5,A,1000,50,A,2.02,0.11,A,669,56,A,65.84,,NR,15.44,,NR,3.68,,NR,2.14,,NR,4.89,,NR,0.66,,NR,4.73,,NR,0.07,,NR,2.55,,NR,0,0,A,,,ND,,,,,0.454,,CALC,0.546,,NR,F,100,65.84,6.23,diamond,#d55e00,Y,N,N,N,N
Behrens et al. (2004) GCA 68(22):4687-4703,10.1016/j.gca.2004.04.019,Dacite,"Unzen, Japan",Synthetic,KFT,SIMS,IHPV,DC153,1250,5,A,1000,50,A,3.12,0.11,A,456,39,A,65.84,,NR,15.44,,NR,3.68,,NR,2.14,,NR,4.89,,NR,0.66,,NR,4.73,,NR,0.07,,NR,2.55,,NR,0,0,A,,,ND,,,,,0.808,,CALC,0.192,,NR,T,100,65.84,6.23,diamond,#d55e00,Y,N,N,N,N
Behrens et al. (2004) GCA 68(22):4687-4703,10.1016/j.gca.2004.04.019,Dacite,"Unzen, Japan",Synthetic,KFT,SIMS,IHPV,DC152,1250,5,A,1000,50,A,3.64,0.13,A,320,28,A,65.84,,NR,15.44,,NR,3.68,,NR,2.14,,NR,4.89,,NR,0.66,,NR,4.73,,NR,0.07,,NR,2.55,,NR,0,0,A,,,ND,,,,,,,ND,,,ND,F,100,65.84,6.23,diamond,#d55e00,N,N,N,N,N
Behrens et al. (2009) Am. Min. 84(1):105-120,10.2138/am.2009.2796,Phonotephrite,"Alban Hills, Italy",Synthetic,KFT,FTIR,IHPV,6bis,1250,10,A,2000,50,A,0.97,0.12,A,2860,180,A,49.89,0.42,A,15.57,0.21,A,1.95,0.18,A,5.75,0.18,A,11.4,0.21,A,0.89,0.03,A,7.82,0.32,A,0.02,0.09,A,7.52,0.16,A,,,ND,,,ND,0,DFMQ,,6bis,0.1,0.03,A,0.88,0.03,CALC,F,100.81,49.48913798,9.393909334,circle,#fbafe4,Y,N,Y,N,N
Behrens et al. (2009) Am. Min. 84(1):105-120,10.2138/am.2009.2796,Phonotephrite,"Alban Hills, Italy",Synthetic,KFT,FTIR,IHPV,6a,1250,10,A,2000,50,A,1.37,0.12,A,2650,160,A,49.89,0.42,A,15.57,0.21,A,1.95,0.18,A,5.75,0.18,A,11.4,0.21,A,0.89,0.03,A,7.82,0.32,A,0.02,0.09,A,7.52,0.16,A,,,ND,,,ND,0,DFMQ,,6a,0.18,0.03,A,0.8,0.03,CALC,F,100.81,49.48913798,9.393909334,circle,#fbafe4,Y,N,Y,N,N
Behrens et al. (2009) Am. Min. 84(1):105-120,10.2138/am.2009.2796,Phonotephrite,"Alban Hills, Italy",Synthetic,KFT,FTIR,IHPV,9bis,1250,10,A,2000,50,A,3.55,0.14,A,960,100,A,49.89,0.42,A,15.57,0.21,A,1.95,0.18,A,5.75,0.18,A,11.4,0.21,A,0.89,0.03,A,7.82,0.32,A,0.02,0.09,A,7.52,0.16,A,,,ND,,,ND,0,DFMQ,,9bis,0.78,0.03,A,0.2,0.03,CALC,F,100.81,49.48913798,9.393909334,circle,#fbafe4,Y,N,Y,N,N
Behrens et al. (2009) Am. Min. 84(1):105-120,10.2138/am.2009.2796,Phonotephrite,"Alban Hills, Italy",Synthetic,KFT,FTIR,IHPV,1,1200,10,A,5000,50,A,0.94,0.12,A,9040,350,A,49.89,0.42,A,15.57,0.21,A,1.95,0.18,A,5.75,0.18,A,11.4,0.21,A,0.89,0.03,A,7.82,0.32,A,0.02,0.09,A,7.52,0.16,A,,,ND,,,ND,0,DFMQ,,1,,,ND,,,,F,100.81,49.48913798,9.393909334,circle,#fbafe4,N,N,Y,N,N
Behrens et al. (2009) Am. Min. 84(1):105-120,10.2138/am.2009.2796,Phonotephrite,"Alban Hills, Italy",Synthetic,KFT,FTIR,IHPV,2,1200,10,A,5000,50,A,2.82,0.12,A,9150,360,A,49.89,0.42,A,15.57,0.21,A,1.95,0.18,A,5.75,0.18,A,11.4,0.21,A,0.89,0.03,A,7.82,0.32,A,0.02,0.09,A,7.52,0.16,A,,,ND,,,ND,0,DFMQ,,2,0.22,0.03,A,0.76,0.03,CALC,F,100.81,49.48913798,9.393909334,circle,#fbafe4,Y,N,Y,N,N
Behrens et al. (2009) Am. Min. 84(1):105-120,10.2138/am.2009.2796,Phonotephrite,"Alban Hills, Italy",Synthetic,KFT,FTIR,IHPV,3,1200,10,A,5000,50,A,5.54,0.13,A,7360,310,A,49.89,0.42,A,15.57,0.21,A,1.95,0.18,A,5.75,0.18,A,11.4,0.21,A,0.89,0.03,A,7.82,0.32,A,0.02,0.09,A,7.52,0.16,A,,,ND,,,ND,0,DFMQ,,3,0.6,0.03,A,0.38,0.03,CALC,F,100.81,49.48913798,9.393909334,circle,#fbafe4,Y,N,Y,N,N
Behrens et al. (2009) Am. Min. 84(1):105-120,10.2138/am.2009.2796,Phonotephrite,"Alban Hills, Italy",Synthetic,KFT,FTIR,IHPV,4,1200,10,A,5000,50,A,9.27,0.13,A,3990,220,A,49.89,0.42,A,15.57,0.21,A,1.95,0.18,A,5.75,0.18,A,11.4,0.21,A,0.89,0.03,A,7.82,0.32,A,0.02,0.09,A,7.52,0.16,A,,,ND,,,ND,0,DFMQ,,4,0.83,0.03,A,0.15,0.03,CALC,T,100.81,49.48913798,9.393909334,circle,#fbafe4,Y,N,Y,N,N
Behrens et al. (2009) Am. Min. 84(1):105-120,10.2138/am.2009.2796,Phonotephrite,"Alban Hills, Italy",Synthetic,KFT,FTIR,IHPV,12,1250,10,A,5000,50,A,3.21,0.12,A,7340,400,A,49.89,0.42,A,15.57,0.21,A,1.95,0.18,A,5.75,0.18,A,11.4,0.21,A,0.89,0.03,A,7.82,0.32,A,0.02,0.09,A,7.52,0.16,A,,,ND,,,ND,0,DFMQ,,12,0.32,0.03,A,0.66,0.03,CALC,F,100.81,49.48913798,9.393909334,circle,#fbafe4,Y,N,Y,N,N
Behrens et al. (2009) Am. Min. 84(1):105-120,10.2138/am.2009.2796,Phonotephrite,"Alban Hills, Italy",Synthetic,KFT,FTIR,IHPV,13,1250,10,A,5000,50,A,6.91,0.13,A,5300,300,A,49.89,0.42,A,15.57,0.21,A,1.95,0.18,A,5.75,0.18,A,11.4,0.21,A,0.89,0.03,A,7.82,0.32,A,0.02,0.09,A,7.52,0.16,A,,,ND,,,ND,0,DFMQ,,13,0.75,0.03,A,0.23,0.03,CALC,F,100.81,49.48913798,9.393909334,circle,#fbafe4,Y,N,Y,N,N
Behrens et al. (2009) Am. Min. 84(1):105-120,10.2138/am.2009.2796,Phonotephrite,"Alban Hills, Italy",Synthetic,KFT,FTIR,IHPV,14,1250,10,A,5000,50,A,6.87,0.12,A,4800,360,A,49.89,0.42,A,15.57,0.21,A,1.95,0.18,A,5.75,0.18,A,11.4,0.21,A,0.89,0.03,A,7.82,0.32,A,0.02,0.09,A,7.52,0.16,A,,,ND,,,ND,0,DFMQ,,14,0.79,0.03,A,0.19,0.03,CALC,F,100.81,49.48913798,9.393909334,circle,#fbafe4,Y,N,Y,N,N
Behrens et al. (2009) Am. Min. 84(1):105-120,10.2138/am.2009.2796,Phonotephrite,"Alban Hills, Italy",Synthetic,KFT,FTIR,IHPV,18,1250,10,A,5000,50,A,5.59,0.13,A,6180,290,A,49.89,0.42,A,15.57,0.21,A,1.95,0.18,A,5.75,0.18,A,11.4,0.21,A,0.89,0.03,A,7.82,0.32,A,0.02,0.09,A,7.52,0.16,A,,,ND,,,ND,0,DFMQ,,18,0.57,0.03,A,0.41,0.03,CALC,F,100.81,49.48913798,9.393909334,circle,#fbafe4,Y,N,Y,N,N
Behrens et al. (2009) Am. Min. 84(1):105-120,10.2138/am.2009.2796,Phonotephrite,"Alban Hills, Italy",Synthetic,KFT,FTIR,IHPV,19,1250,10,A,5000,50,A,2.28,0.12,A,8240,370,A,49.89,0.42,A,15.57,0.21,A,1.95,0.18,A,5.75,0.18,A,11.4,0.21,A,0.89,0.03,A,7.82,0.32,A,0.02,0.09,A,7.52,0.16,A,,,ND,,,ND,0,DFMQ,,19,0.18,0.03,A,0.8,0.03,CALC,F,100.81,49.48913798,9.393909334,circle,#fbafe4,Y,N,Y,N,N
Behrens et al. (2009) Am. Min. 84(1):105-120,10.2138/am.2009.2796,Phonotephrite,"Alban Hills, Italy",Synthetic,KFT,ND,IHPV,H42,1200,10,A,2000,50,A,5.32,0.13,A,0,,NR,49.89,0.42,A,15.57,0.21,A,1.95,0.18,A,5.75,0.18,A,11.4,0.21,A,0.89,0.03,A,7.82,0.32,A,0.02,0.09,A,7.52,0.16,A,,,ND,,,ND,2,DFMQ,,,1,0.03,A,0,0.03,CALC,T,100.81,49.48913798,9.393909334,circle,#fbafe4,Y,N,Y,N,N
Behrens et al. (2009) Am. Min. 84(1):105-120,10.2138/am.2009.2796,Phonotephrite,"Alban Hills, Italy",Synthetic,KFT,FTIR,IHPV,H43,1200,10,A,2000,50,A,4.73,0.17,A,750,60,A,49.89,0.42,A,15.57,0.21,A,1.95,0.18,A,5.75,0.18,A,11.4,0.21,A,0.89,0.03,A,7.82,0.32,A,0.02,0.09,A,7.52,0.16,A,,,ND,,,ND,2,DFMQ,,H43,0.76,0.03,A,0.22,0.03,CALC,T,100.81,49.48913798,9.393909334,circle,#fbafe4,Y,N,Y,N,N
Behrens et al. (2009) Am. Min. 84(1):105-120,10.2138/am.2009.2796,Phonotephrite,"Alban Hills, Italy",Synthetic,KFT,FTIR,IHPV,H44,1200,10,A,2000,50,A,2.67,0.13,A,2760,130,A,49.89,0.42,A,15.57,0.21,A,1.95,0.18,A,5.75,0.18,A,11.4,0.21,A,0.89,0.03,A,7.82,0.32,A,0.02,0.09,A,7.52,0.16,A,,,ND,,,ND,2,DFMQ,,H44,0.3,0.03,A,0.68,0.03,CALC,F,100.81,49.48913798,9.393909334,circle,#fbafe4,Y,N,Y,N,N
Behrens et al. (2009) Am. Min. 84(1):105-120,10.2138/am.2009.2796,Phonotephrite,"Alban Hills, Italy",Synthetic,KFT,FTIR,IHPV,H45,1200,10,A,2000,50,A,1.41,0.11,A,3640,170,A,49.89,0.42,A,15.57,0.21,A,1.95,0.18,A,5.75,0.18,A,11.4,0.21,A,0.89,0.03,A,7.82,0.32,A,0.02,0.09,A,7.52,0.16,A,,,ND,,,ND,2,DFMQ,,H45,0.07,0.03,A,0.91,0.03,CALC,T,100.81,49.48913798,9.393909334,circle,#fbafe4,Y,N,Y,N,N
Behrens et al. (2009) Am. Min. 84(1):105-120,10.2138/am.2009.2796,Phonotephrite,"Alban Hills, Italy",Synthetic,KFT,ND,IHPV,H47,1200,10,A,2000,50,A,5.32,0.12,A,0,0,A,49.89,0.42,A,15.57,0.21,A,1.95,0.18,A,5.75,0.18,A,11.4,0.21,A,0.89,0.03,A,7.82,0.32,A,0.02,0.09,A,7.52,0.16,A,,,ND,,,ND,2,DFMQ,,H47,1,0.03,A,0,0.03,CALC,F,100.81,49.48913798,9.393909334,circle,#fbafe4,Y,N,Y,N,N
