Reference,doi,Composition,Location,Material,H2O technique,CO2 technique,Experimental apparatus,Sample,T_C,T_C sd,T_C sd type,P_bar,P_bar sd,P_bar sd type,H2O_wt%,H2O_wt% sd,H2O_wt% sd type,CO2_ppm,CO2_ppm sd,CO2_ppm sd type,SiO2_wt%,SiO2_wt% sd,SiO2_wt% sd type,Al2O3_wt%,Al2O3_wt% sd,Al2O3_wt% sd type,Na2O_wt%,Na2O_wt% sd,Na2O_wt% sd type,MgO_wt%,MgO_wt% sd,MgO_wt% sd type,CaO_wt%,CaO_wt% sd,CaO_wt% sd type,TiO2_wt%,TiO2_wt% sd,TiO2_wt% sd type,FeOT_wt%,FeOT_wt% sd,FeOT_wt% sd type,MnO_wt%,MnO_wt% sd,MnO_wt% sd type,K2O_wt%,K2O_wt% sd,K2O_wt% sd type,P2O5_wt%,P2O5_wt% sd,P2O5_wt% sd type,Fe3_FeT,Fe3_FeT sd,Fe3_FeT sd type,fO2,fO2 unit,fO2 sd,fO2 sd type,XH2Of,XH2Of sd,XH2Of sd type,XCO2f,XCO2f sd,XCO2f sd type,Fit_or_test,volatile-free analytical total,SiO2_n,TA_n,Symbol,Colour,calib_MagmaSat,calib_ShishkinaIdealMixing,calib_IaconoMarziano,calib_Liu,calib_Dixon,model option,P_bar model,P_bar sd model,xgH2O model,xgH2O sd model,xgCO2 model,xgCO2 sd model
Shishkina et al. (2014) Chem Geol,10.1016/j.chemgeo.2014.09.001,Trachybasalt,Etna,Natural,KFT,FTIR,IHPV,Etna-14,1200,10,A,5000,50,A,4.61,0.11,A,3666,174,A,45.44,0.58,A,15.46,0.3,A,3.04,0.22,A,5.67,0.15,A,10,0.39,A,1.59,0.08,A,9.33,0.42,A,0.22,0.1,A,1.75,0.19,A,,,ND,,,ND,2.436497903,DNNO,,ND,0.502250804,,NR,0.497749196,,CALC,T,92.5,49.12432432,5.178378378,square,#56b4e9,Y,Y,N,N,N,Dixon,4992.00866,226.4461367,0.498268264,0.03156387,0.501731736,0.03156387
Shishkina et al. (2014) Chem Geol,10.1016/j.chemgeo.2014.09.001,Trachybasalt,Etna,Natural,KFT,FTIR,IHPV,Etna-13,1200,10,A,5000,50,A,2.22,0.12,A,4609,193,A,46.97,0.66,A,15.88,0.25,A,3.45,0.26,A,5.91,0.21,A,10.38,0.25,A,1.7,0.07,A,9.85,0.49,A,0.24,0.17,A,1.94,0.16,A,,,ND,,,ND,1.586497903,DNNO,,ND,0.273631841,,NR,0.726368159,,CALC,F,96.32,48.76453488,5.595930233,square,#56b4e9,Y,Y,N,N,N,Dixon,5007.55979,607.2790998,0.137616161,0.021678726,0.862383839,0.021678726
Botcharnikov et al. (2005),10.4401/ag-3224,Ferrobasalt,Skaergaard intrusion,Synthetic,FTIR,ND,IHPV,SC1 B17,1200,3,A,2000,10,A,4.67,0.1,A,0,0,A,48.34,0.29,A,14.61,0.13,A,2.6,0.11,A,6.4,0.11,A,10.87,0.15,A,2.86,0.05,A,12.91,0.28,A,0,0,A,0.3,0.03,A,,,ND,,,ND,,,,NR,1,,NR,0,,CALC,F,98.89,48.88259682,2.93255132,star,#0173b2,Y,Y,Y,N,N,Dixon,1996.529378,76.79391865,1,0,0,0
Botcharnikov et al. (2005),10.4401/ag-3224,Ferrobasalt,Skaergaard intrusion,Synthetic,FTIR,FTIR,IHPV,SC1 B21,1200,3,A,2000,10,A,2.9,0.08,A,814,115,A,48.34,0.29,A,14.61,0.13,A,2.6,0.11,A,6.4,0.11,A,10.87,0.15,A,2.86,0.05,A,12.91,0.28,A,0,0,A,0.3,0.03,A,,,ND,,,ND,,,,NR,0.55,,NR,0.45,,CALC,F,98.89,48.88259682,2.93255132,star,#0173b2,Y,Y,Y,N,N,Dixon,2210.738591,220.7186129,0.427953644,0.040932776,0.572046356,0.040932776
Botcharnikov et al. (2005),10.4401/ag-3224,Ferrobasalt,Skaergaard intrusion,Synthetic,FTIR,FTIR,IHPV,SC1 B10,1200,3,A,2000,10,A,2.43,0.11,A,782,64,A,48.34,0.29,A,14.61,0.13,A,2.6,0.11,A,6.4,0.11,A,10.87,0.15,A,2.86,0.05,A,12.91,0.28,A,0,0,A,0.3,0.03,A,,,ND,,,ND,,,,NR,0.44,,NR,0.56,,CALC,F,98.89,48.88259682,2.93255132,star,#0173b2,Y,Y,Y,N,N,Dixon,1913.970684,166.0513096,0.353443743,0.033133878,0.646556257,0.033133878
Botcharnikov et al. (2005),10.4401/ag-3224,Ferrobasalt,Skaergaard intrusion,Synthetic,FTIR,FTIR,IHPV,SC1 B19,1200,3,A,2000,10,A,1.85,0.13,A,794,147,A,48.34,0.29,A,14.61,0.13,A,2.6,0.11,A,6.4,0.11,A,10.87,0.15,A,2.86,0.05,A,12.91,0.28,A,0,0,A,0.3,0.03,A,,,ND,,,ND,,,,NR,0.22,,NR,0.78,,CALC,F,98.89,48.88259682,2.93255132,star,#0173b2,Y,Y,Y,N,N,Dixon,1656.867924,263.7336749,0.244408006,0.044515569,0.755591994,0.044515569
Botcharnikov et al. (2005),10.4401/ag-3224,Ferrobasalt,Skaergaard intrusion,Synthetic,FTIR,FTIR,IHPV,SC1 B6,1200,3,A,2000,10,A,2,0.12,A,992,109,A,48.34,0.29,A,14.61,0.13,A,2.6,0.11,A,6.4,0.11,A,10.87,0.15,A,2.86,0.05,A,12.91,0.28,A,0,0,A,0.3,0.03,A,,,ND,,,ND,,,,NR,0.24,,NR,0.76,,CALC,T,98.89,48.88259682,2.93255132,star,#0173b2,Y,Y,Y,N,N,Dixon,2038.728099,217.0010233,0.234020564,0.031347678,0.765979436,0.031347678
Botcharnikov et al. (2005),10.4401/ag-3224,Ferrobasalt,Skaergaard intrusion,Synthetic,FTIR,FTIR,IHPV,SC1 B9,1200,3,A,2000,10,A,1.14,0.05,A,1033,66,A,48.34,0.29,A,14.61,0.13,A,2.6,0.11,A,6.4,0.11,A,10.87,0.15,A,2.86,0.05,A,12.91,0.28,A,0,0,A,0.3,0.03,A,,,ND,,,ND,,,,NR,0.07,,NR,0.93,,CALC,F,98.89,48.88259682,2.93255132,star,#0173b2,Y,Y,Y,N,N,Dixon,1790.982321,184.3210299,0.085862185,0.011099366,0.914137815,0.011099366
Botcharnikov et al. (2005),10.4401/ag-3224,Ferrobasalt,Skaergaard intrusion,Synthetic,FTIR,FTIR,IHPV,SC1 B22,1200,3,A,2000,10,A,0.94,0.06,A,1006,52,A,48.34,0.29,A,14.61,0.13,A,2.6,0.11,A,6.4,0.11,A,10.87,0.15,A,2.86,0.05,A,12.91,0.28,A,0,0,A,0.3,0.03,A,,,ND,,,ND,,,,NR,0.06,,NR,0.94,,CALC,T,98.89,48.88259682,2.93255132,star,#0173b2,Y,Y,Y,N,N,Dixon,1709.290506,174.3586995,0.059736659,0.009500396,0.940263341,0.009500396
Botcharnikov et al. (2005),10.4401/ag-3224,Ferrobasalt,Skaergaard intrusion,Synthetic,FTIR,FTIR,IHPV,SC1 B7,1200,3,A,2000,10,A,0.97,0.05,A,976,174,A,48.34,0.29,A,14.61,0.13,A,2.6,0.11,A,6.4,0.11,A,10.87,0.15,A,2.86,0.05,A,12.91,0.28,A,0,0,A,0.3,0.03,A,,,ND,,,ND,,,,NR,0.08,,NR,0.92,,CALC,F,98.89,48.88259682,2.93255132,star,#0173b2,Y,Y,Y,N,N,Dixon,1652.89403,297.6152134,0.067069493,0.013527251,0.932930507,0.013527251
Botcharnikov et al. (2005),10.4401/ag-3224,Ferrobasalt,Skaergaard intrusion,Synthetic,FTIR,FTIR,IHPV,SC1 B8,1200,3,A,2000,10,A,0.82,0.05,A,1061,75,A,48.34,0.29,A,14.61,0.13,A,2.6,0.11,A,6.4,0.11,A,10.87,0.15,A,2.86,0.05,A,12.91,0.28,A,0,0,A,0.3,0.03,A,,,ND,,,ND,,,,NR,0.05,,NR,0.95,,CALC,T,98.89,48.88259682,2.93255132,star,#0173b2,Y,Y,Y,N,N,Dixon,1780.153666,197.7362746,0.043451838,0.006947669,0.956548162,0.006947669
Botcharnikov et al. (2005),10.4401/ag-3224,Ferrobasalt,Skaergaard intrusion,Synthetic,FTIR,FTIR,IHPV,SC1 B20,1200,3,A,2000,10,A,0.72,0.05,A,1059,59,A,48.34,0.29,A,14.61,0.13,A,2.6,0.11,A,6.4,0.11,A,10.87,0.15,A,2.86,0.05,A,12.91,0.28,A,0,0,A,0.3,0.03,A,,,ND,,,ND,,,,NR,0.02,,NR,0.98,,CALC,F,98.89,48.88259682,2.93255132,star,#0173b2,Y,Y,Y,N,N,Dixon,1745.942943,185.3664095,0.033558725,0.005862106,0.966441275,0.005862106
Shishkina et al. (2014),10.1016/j.chemgeo.2014.09.001,Ferrobasalt,Skaergaard intrusion,Synthetic,KFT,ND,IHPV,SC1 B156,1200,10,A,5000,50,A,9.02,0.11,A,0,,ND,48.88,0,A,14.77,0,A,2.63,0,A,6.47,0,A,10.99,0,A,2.89,0,A,13.05,0,A,0,0,A,0.3,0,A,,,ND,,,ND,,,,NR,0.942184154,,NR,0.057815846,,CALC,F,99.98,48.88977796,2.930586117,star,#0173b2,Y,Y,N,N,N,Dixon,5405.548142,94.66761656,1,0,0,0
Shishkina et al. (2014),10.1016/j.chemgeo.2014.09.001,Ferrobasalt,Skaergaard intrusion,Synthetic,KFT,FTIR,IHPV,SC1 B157,1200,10,A,5000,50,A,8.18,0.11,A,1258,117,A,48.88,0,A,14.77,0,A,2.63,0,A,6.47,0,A,10.99,0,A,2.89,0,A,13.05,0,A,0,0,A,0.3,0,A,,,ND,,,ND,,,,NR,0.760638298,,NR,0.239361702,,CALC,F,99.98,48.88977796,2.930586117,star,#0173b2,Y,Y,N,N,N,Dixon,6778.23343,182.1716653,0.717405849,0.017541094,0.282594151,0.017541094
Shishkina et al. (2014),10.1016/j.chemgeo.2014.09.001,Ferrobasalt,Skaergaard intrusion,Synthetic,KFT,FTIR,IHPV,SC1 B158,1200,10,A,5000,50,A,5.54,0.14,A,2746,206,A,47.18,0.33,A,13.92,0.15,A,2.64,0.04,A,5.82,0.2,A,10.34,0.3,A,2.76,0.05,A,12.18,0.34,A,0.01,0.02,A,0.34,0.03,A,,,ND,,,ND,2.666497903,DNNO,,ND,0.55425136,,NR,0.44574864,,CALC,F,95.19,49.56402984,3.130580943,star,#0173b2,Y,Y,N,N,N,Dixon,5623.574437,264.3552941,0.541343199,0.028429185,0.458656801,0.028429185
Shishkina et al. (2014),10.1016/j.chemgeo.2014.09.001,Ferrobasalt,Skaergaard intrusion,Synthetic,KFT,FTIR,IHPV,SC1 B160,1200,10,A,5000,50,A,1.18,0.1,A,4384,228,A,48.88,0,A,14.77,0,A,2.63,0,A,6.47,0,A,10.99,0,A,2.89,0,A,13.05,0,A,0,0,A,0.3,0,A,,,ND,,,ND,,,,NR,0.04359673,,NR,0.95640327,,CALC,F,99.98,48.88977796,2.930586117,star,#0173b2,Y,Y,N,N,N,Dixon,6814.95304,255.6763277,0.027291661,0.004804392,0.972708339,0.004804392
Shishkina et al. (2014),10.1016/j.chemgeo.2014.09.001,Nephelinite,Gracze,Natural,FTIR,FTIR,IHPV,E2624 B-15,1250,10,A,500,50,A,0.86,0.12,A,945,111,A,44.61,0.49,A,12.11,0.08,A,4,0.3,A,12.1,0.5,A,13.99,0.05,A,2.46,0.05,A,9.24,0.23,A,0.19,0.08,A,1.04,0.04,A,,,ND,0.101468625,,NR,1.360348587,DNNO,,ND,,,ND,1,,CALC,T,99.74,44.72628835,5.053138159,diamond,#ece133,N,Y,N,N,N,Dixon,781.7257168,98.12146696,0.120048391,0.034874627,0.879951609,0.034874627
Shishkina et al. (2014),10.1016/j.chemgeo.2014.09.001,Nephelinite,Gracze,Natural,KFT,FTIR,IHPV,E2624 31,1250,10,A,1000,50,A,3.19,0.13,A,0,0,A,41.54,0.36,A,11.35,0.04,A,3.42,0.23,A,12.23,0.25,A,13.03,0.32,A,2.26,0.03,A,10.24,0.34,A,0.2,0.09,A,0.86,0.08,A,,,ND,0.50114336,,NR,2.796825114,DNNO,,ND,0.989339801,,NR,0.010660199,,CALC,F,95.13,43.66656155,4.499106486,diamond,#ece133,Y,Y,N,N,N,Dixon,1420.502517,115.0904764,1,0,0,0
Shishkina et al. (2014),10.1016/j.chemgeo.2014.09.001,Nephelinite,Gracze,Natural,KFT,FTIR,IHPV,E2624 33,1250,10,A,1000,50,A,2.69,0.12,A,1090,133,A,42.04,0.41,A,11.33,0.23,A,3.46,0.31,A,12.6,0.29,A,13.05,0.27,A,2.3,0.06,A,10.22,0.4,A,0.2,0.12,A,0.92,0.07,A,,,ND,0.33133852,,NR,2.606825114,DNNO,,ND,0.602813118,,NR,0.397186882,,CALC,F,96.12,43.73699542,4.556803995,diamond,#ece133,Y,Y,N,N,N,Dixon,1601.710157,110.0843415,0.65181428,0.035737585,0.34818572,0.035737585
Shishkina et al. (2014),10.1016/j.chemgeo.2014.09.001,Nephelinite,Gracze,Natural,KFT,FTIR,IHPV,E2624 35,1250,10,A,1000,50,A,0.54,0.11,A,2868,364,A,44.09,0.53,A,12.33,0.27,A,3.77,0.21,A,11.61,0.32,A,14.29,0.18,A,2.5,0.1,A,9.07,0.13,A,0.23,0.11,A,0.94,0.06,A,,,ND,0.251528568,,NR,0.266825114,DNNO,,ND,,,ND,,,,F,98.83,44.61195993,4.765759385,diamond,#ece133,N,Y,N,N,N,Dixon,1903.953902,239.0185876,0.020950938,0.008987166,0.979049062,0.008987166
Shishkina et al. (2014),10.1016/j.chemgeo.2014.09.001,Nephelinite,Gracze,Natural,FTIR,FTIR,IHPV,E2624 B-3,1250,10,A,2000,50,A,1.13,0.16,A,3407,416,A,42.32,0.01,R,11.8,0.01,R,3.72,0.01,R,13.31,0.01,R,13.23,0.01,R,2.26,0.01,R,11,0.01,R,0.19,0.01,R,0.96,0.01,R,,,ND,0.148058252,,NR,0.969778167,DNNO,,ND,,,ND,,,,F,98.79,42.83834396,4.737321591,diamond,#ece133,N,Y,N,N,N,Dixon,1959.322739,219.4409667,0.104157616,0.029957654,0.895842384,0.029957654
Shishkina et al. (2014),10.1016/j.chemgeo.2014.09.001,Nephelinite,Gracze,Natural,FTIR,FTIR,IHPV,E2624  B-11,1250,10,A,3000,50,A,1.02,0.14,A,7658,899,A,43.79,0.43,A,12.1,0.33,A,3.96,0.17,A,11.68,0.37,A,13.84,0.22,A,2.47,0.07,A,8.96,0.56,A,0.26,0.09,A,1.03,0.06,A,,,ND,0.2,,NR,0.77273122,DNNO,,ND,,,ND,,,,F,98.09,44.64267509,5.087164849,diamond,#ece133,N,Y,N,N,N,Dixon,4426.989241,470.5925513,0.037561338,0.011378243,0.962438662,0.011378243
Shishkina et al. (2014),10.1016/j.chemgeo.2014.09.001,Nephelinite,Gracze,Natural,KFT,FTIR,IHPV,E2624  38,1250,10,A,5000,50,A,5.86,0.14,A,8549,992,A,40.21,0.4,A,10.73,0.24,A,3.35,0.24,A,12.07,0.23,A,12.39,0.3,A,2.24,0.04,A,9.65,0.4,A,0.14,0.09,A,0.84,0.06,A,,,ND,0.511451758,,NR,2.778637326,DNNO,,ND,0.55408239,,NR,0.44591761,,CALC,T,91.62,43.88779742,4.573237284,diamond,#ece133,Y,Y,N,N,N,Dixon,7490.591989,332.8680169,0.625276777,0.030437367,0.374723223,0.030437367
Shishkina et al. (2014),10.1016/j.chemgeo.2014.09.001,Nephelinite,Gracze,Natural,KFT,FTIR,IHPV,E2624 40,1250,10,A,5000,50,A,1.12,0.12,A,13905,992,A,43.12,0.23,A,12.27,0.19,A,3.79,0.12,A,11.11,0.24,A,14.06,0.41,A,2.43,0.01,A,9.58,0.33,A,0.08,0.1,A,0.93,0.07,A,,,ND,0.223350254,,NR,0.728637326,DNNO,,ND,,,ND,,,,F,97.37,44.28468728,4.84748896,diamond,#ece133,N,Y,N,N,N,Dixon,6633.132122,372.9074424,0.032020072,0.007289898,0.967979928,0.007289898
Iacovino et al. (2013),10.1007/s00410-013-0877-2,Phonotephrite,Erebus,Natural,FTIR,FTIR,PC,AW12,1190,10,A,4970,100,A,2.11,0.1,R,5100,0.1,R,48.78,0.01,R,19.11,0.01,R,5.8,0.01,R,2.71,0.01,R,7.75,0.01,R,2.59,0.01,R,8.37,0.01,R,,,ND,2.62,0.01,R,,,ND,,,ND,-2,NNO,NR,NR,0.063,,NR,0.937,,CALC,F,97.73,49.91302568,8.615573519,triangle-up,#fbafe4,Y,N,N,N,N,Dixon,7470.600416,816.1510344,0.081204223,0.017349851,0.918795777,0.017349851
Iacovino et al. (2013),10.1007/s00410-013-0877-2,Phonotephrite,Erebus,Natural,FTIR,FTIR,PC,AW19,1190,10,A,4000,100,A,1.69,0.1,R,3440,0.1,R,48.78,0.01,R,19.11,0.01,R,5.8,0.01,R,2.71,0.01,R,7.75,0.01,R,2.59,0.01,R,7.95,0.01,R,,,ND,2.62,0.01,R,,,ND,,,ND,-1,NNO,NR,NR,0.12,,NR,0.88,,CALC,T,97.31,50.12845545,8.652759223,triangle-up,#fbafe4,Y,N,N,N,N,Dixon,5536.244309,662.0202148,0.070145083,0.016802594,0.929854917,0.016802594
Iacovino et al. (2013),10.1007/s00410-013-0877-2,Phonotephrite,Erebus,Natural,FTIR,FTIR,PC,AW27,1190,10,A,3990,100,A,2.28,0.1,R,3150,0.1,R,48.78,0.01,R,19.11,0.01,R,5.8,0.01,R,2.71,0.01,R,7.75,0.01,R,2.59,0.01,R,8.88,0.01,R,,,ND,2.62,0.01,R,,,ND,,,ND,,,ND,ND,0.57,,NR,0.43,,CALC,F,98.24,49.65390879,8.570846906,triangle-up,#fbafe4,Y,N,N,N,N,Dixon,5432.411937,614.2616408,0.126393491,0.025502082,0.873606509,0.025502082
Lesne et al. (2010),10.1007/s00410-010-0588-x,Trachybasalt,Etna,Natural,KFT,ND,IHPV,Run3#2,1200,10,A,524,25,A,2.38,0.06,A,0,0,A,48.48267818,0.536739043,A,16.33229032,0.159183856,A,3.541620546,0.09425851,A,6.365772959,0.162622774,A,11.01687252,0.275462278,A,1.807433852,0.098611696,A,10.21411104,0.176970807,A,0.171048872,0.047433111,A,2.068171717,0.087227671,A,,,ND,,,,,,,,,,,,,,F,100,48.48267818,5.609792263,diamond,#56b4e9,Y,Y,N,N,N,Dixon,578.6443457,30.23769181,1,0,0,0
Lesne et al. (2010),10.1007/s00410-010-0588-x,Trachybasalt,Etna,Natural,KFT,ND,IHPV,Run7#2,1200,10,A,1006,25,A,3.59,0.12,A,0,0,A,48.17683735,0.406820968,A,16.61161665,0.203079295,A,3.60572195,0.123153157,A,6.837690473,0.146929575,A,10.58296024,0.209059083,A,1.659069336,0.074541935,A,10.33103532,0.447826194,A,0.09954416,0.068783719,A,2.096699602,0.059646458,A,,,ND,,,,,,,,,,,,,,F,100.0011751,48.17627124,5.702354545,diamond,#56b4e9,Y,Y,N,N,N,Dixon,1270.589593,79.32327386,1,0,0,0
Lesne et al. (2010),10.1007/s00410-010-0588-x,Trachybasalt,Etna,Natural,KFT,ND,IHPV,Run37#2,1200,10,A,163,25,A,1.08,0.07,A,0,0,A,48.85310364,0.414262129,A,16.19079,0.148025336,A,3.428557039,0.140272156,A,6.734126917,0.115982757,A,10.64119659,0.122816711,A,1.730340002,0.098220415,A,10.32983747,0.245785476,A,0.135146561,0.06726461,A,1.95690178,0.072611982,A,,,ND,,,,,,,,,,,,,,F,100,48.85310364,5.385458819,diamond,#56b4e9,Y,N,N,N,N,Dixon,114.4874826,15.7342437,1,0,0,0
Lesne et al. (2010),10.1007/s00410-010-0588-x,Trachybasalt,Etna,Natural,KFT,ND,IHPV,Run48#2,1200,10,A,2760,25,A,6.18,0.15,A,0,0,A,48.63573636,0.557183954,A,16.12456545,0.140114416,A,3.603507766,0.128152074,A,6.46500059,0.230305736,A,10.69866297,0.267197093,A,1.788525333,0.085926408,A,10.38343308,0.419062275,A,0.234947995,0.063137589,A,2.065620458,0.085254892,A,,,ND,,,,,,,,,,,,,,F,100,48.63573636,5.669128224,diamond,#56b4e9,Y,N,N,N,N,Dixon,3143.613539,138.9367479,1,0,0,0
Iacono-Marziano et al. (2012),10.1016/j.gca.2012.08.035,Trachybasalt,Etna,Natural,FTIR,FTIR,IHPV,,1200,10,A,485,50,A,0.95,0.05,A,306,43,A,47.95,0.82,A,17.32,0.27,A,3.45,0.16,A,5.76,0.28,A,10.93,0.37,A,1.67,0.11,A,10.24,1.25,A,0,0,A,1.99,0.1,A,0.51,0.12,A,,,,,,,,,,,,,,F,99.82,48.03646564,5.449809657,diamond,#56b4e9,Y,Y,Y,N,N,Dixon,557.3185508,119.4604443,0.178579865,0.043913405,0.821420135,0.043913405
Iacono-Marziano et al. (2012),10.1016/j.gca.2012.08.035,Trachybasalt,Etna,Natural,FTIR,FTIR,IHPV,,1200,10,A,485,50,A,1.18,0.07,A,191,27,A,47.95,0.82,A,17.32,0.27,A,3.45,0.16,A,5.76,0.28,A,10.93,0.37,A,1.67,0.11,A,10.24,1.25,A,0,0,A,1.99,0.1,A,0.51,0.12,A,,,,,,,,,,,,,,F,99.82,48.03646564,5.449809657,diamond,#56b4e9,Y,Y,Y,N,N,Dixon,440.2221881,76.09515941,0.343490319,0.067200789,0.656509681,0.067200789
Iacono-Marziano et al. (2012),10.1016/j.gca.2012.08.035,Trachybasalt,Etna,Natural,FTIR,FTIR,IHPV,,1200,10,A,1015,50,A,0.99,0.06,A,843,118,A,47.95,0.82,A,17.32,0.27,A,3.45,0.16,A,5.76,0.28,A,10.93,0.37,A,1.67,0.11,A,10.24,1.25,A,0,0,A,1.99,0.1,A,0.51,0.12,A,,,,,,,,,,,,,,F,99.82,48.03646564,5.449809657,diamond,#56b4e9,Y,Y,Y,N,N,Dixon,1344.280141,306.7928754,0.088022121,0.023115702,0.911977879,0.023115702
Iacono-Marziano et al. (2012),10.1016/j.gca.2012.08.035,Trachybasalt,Etna,Natural,FTIR,FTIR,IHPV,,1200,10,A,1015,50,A,2.12,0.17,A,548,82,A,47.95,0.82,A,17.32,0.27,A,3.45,0.16,A,5.76,0.28,A,10.93,0.37,A,1.67,0.11,A,10.24,1.25,A,0,0,A,1.99,0.1,A,0.51,0.12,A,,,,,,,,,,,,,,T,99.82,48.03646564,5.449809657,diamond,#56b4e9,Y,Y,Y,N,N,Dixon,1314.645975,227.9462308,0.396687538,0.075254684,0.603312462,0.075254684
Iacono-Marziano et al. (2012),10.1016/j.gca.2012.08.035,Trachybasalt,Etna,Natural,FTIR,FTIR,IHPV,,1200,10,A,1017,50,A,0.8,0.05,A,808,121,A,47.95,0.82,A,17.32,0.27,A,3.45,0.16,A,5.76,0.28,A,10.93,0.37,A,1.67,0.11,A,10.24,1.25,A,0,0,A,1.99,0.1,A,0.51,0.12,A,,,,,,,,,,,,,,F,99.82,48.03646564,5.449809657,diamond,#56b4e9,Y,N,Y,N,N,Dixon,1266.093651,297.1734689,0.058973738,0.016079405,0.941026262,0.016079405
Iacono-Marziano et al. (2012),10.1016/j.gca.2012.08.035,Trachybasalt,Etna,Natural,FTIR,FTIR,IHPV,,1200,10,A,1017,50,A,2.08,0.08,A,534,75,A,47.95,0.82,A,17.32,0.27,A,3.45,0.16,A,5.76,0.28,A,10.93,0.37,A,1.67,0.11,A,10.24,1.25,A,0,0,A,1.99,0.1,A,0.51,0.12,A,,,,,,,,,,,,,,F,99.82,48.03646564,5.449809657,diamond,#56b4e9,Y,N,Y,N,N,Dixon,1289.674001,209.7923,0.390357629,0.067424093,0.609642371,0.067424093
Iacono-Marziano et al. (2012),10.1016/j.gca.2012.08.035,Trachybasalt,Etna,Natural,FTIR,FTIR,IHPV,,1200,10,A,1530,50,A,1.43,0.07,A,1278,179,A,47.95,0.82,A,17.32,0.27,A,3.45,0.16,A,5.76,0.28,A,10.93,0.37,A,1.67,0.11,A,10.24,1.25,A,0,0,A,1.99,0.1,A,0.51,0.12,A,,,,,,,,,,,,,,T,99.82,48.03646564,5.449809657,diamond,#56b4e9,Y,N,Y,N,N,Dixon,2096.784112,463.7976072,0.125044786,0.028649376,0.874955214,0.028649376
Iacono-Marziano et al. (2012),10.1016/j.gca.2012.08.035,Trachybasalt,Etna,Natural,FTIR,FTIR,IHPV,,1200,10,A,1530,50,A,3.01,0.26,A,1035,145,A,47.95,0.82,A,17.32,0.27,A,3.45,0.16,A,5.76,0.28,A,10.93,0.37,A,1.67,0.11,A,10.24,1.25,A,0,0,A,1.99,0.1,A,0.51,0.12,A,,,,,,,,,,,,,,F,99.82,48.03646564,5.449809657,diamond,#56b4e9,Y,N,Y,N,N,Dixon,2492.308597,397.6076606,0.423046508,0.073888088,0.576953492,0.073888088
Iacono-Marziano et al. (2012),10.1016/j.gca.2012.08.035,Trachybasalt,Etna,Natural,FTIR,FTIR,IHPV,,1200,10,A,2047,50,A,1.04,0.14,A,1853,259,A,47.95,0.82,A,17.32,0.27,A,3.45,0.16,A,5.76,0.28,A,10.93,0.37,A,1.67,0.11,A,10.24,1.25,A,0,0,A,1.99,0.1,A,0.51,0.12,A,,,,,,,,,,,,,,F,99.82,48.03646564,5.449809657,diamond,#56b4e9,Y,N,Y,N,N,Dixon,2706.546974,599.9396815,0.052797352,0.019000921,0.947202648,0.019000921
Iacono-Marziano et al. (2012),10.1016/j.gca.2012.08.035,Trachybasalt,Etna,Natural,FTIR,FTIR,IHPV,,1200,10,A,2047,50,A,2.82,0.09,A,1489,208,A,47.95,0.82,A,17.32,0.27,A,3.45,0.16,A,5.76,0.28,A,10.93,0.37,A,1.67,0.11,A,10.24,1.25,A,0,0,A,1.99,0.1,A,0.51,0.12,A,,,,,,,,,,,,,,F,99.82,48.03646564,5.449809657,diamond,#56b4e9,Y,N,Y,N,N,Dixon,2971.192275,485.0226567,0.325902275,0.055916941,0.674097725,0.055916941
Iacono-Marziano et al. (2012),10.1016/j.gca.2012.08.035,Trachybasalt,Etna,Natural,FTIR,FTIR,IHPV,,1200,10,A,2055,50,A,0.87,0.08,A,1706,239,A,47.95,0.82,A,17.32,0.27,A,3.45,0.16,A,5.76,0.28,A,10.93,0.37,A,1.67,0.11,A,10.24,1.25,A,0,0,A,1.99,0.1,A,0.51,0.12,A,,,,,,,,,,,,,,F,99.82,48.03646564,5.449809657,diamond,#56b4e9,Y,N,Y,N,N,Dixon,2466.571537,557.5508909,0.03899517,0.011739378,0.96100483,0.011739378
Iacono-Marziano et al. (2012),10.1016/j.gca.2012.08.035,Trachybasalt,Etna,Natural,FTIR,FTIR,IHPV,,1200,10,A,2055,50,A,3.45,0.07,A,1408,197,A,47.95,0.82,A,17.32,0.27,A,3.45,0.16,A,5.76,0.28,A,10.93,0.37,A,1.67,0.11,A,10.24,1.25,A,0,0,A,1.99,0.1,A,0.51,0.12,A,,,,,,,,,,,,,,T,99.82,48.03646564,5.449809657,diamond,#56b4e9,Y,N,Y,N,N,Dixon,3220.228942,458.2671672,0.424393851,0.063169495,0.575606149,0.063169495
Iacono-Marziano et al. (2012),10.1016/j.gca.2012.08.035,Trachybasalt,Etna,Natural,FTIR,FTIR,IHPV,,1200,10,A,2135,50,A,2.7,0.19,A,1412,198,A,47.95,0.82,A,17.32,0.27,A,3.45,0.16,A,5.76,0.28,A,10.93,0.37,A,1.67,0.11,A,10.24,1.25,A,0,0,A,1.99,0.1,A,0.51,0.12,A,,,,,,,,,,,,,,F,99.82,48.03646564,5.449809657,diamond,#56b4e9,Y,Y,Y,N,N,Dixon,2811.609549,484.5540141,0.314725476,0.061592145,0.685274524,0.061592145
